date;time;status;reference;description;assetType;type;isin;shares;price;amount;fee;tax;currency
2025-09-23;16:00:16;Executed;"SCALHhePEyTwqsk";"Leverage Shares 3x Baidu ETP Securities";Security;Buy;XS2757381749;100;9,3295;-932,95;0,00;0,00;EUR
2025-09-23;16:00:11;Executed;"SCALZ6eaxJyASzP";"Leverage Shares 3x Amazon ETP";Security;Buy;IE00BK5BZQ82;100;7,359;-735,90;0,00;0,00;EUR
2025-09-23;15:59:57;Executed;"SCALiN3HBTYfxxJ";"Leverage Shares 3x Baidu ETP Securities";Security;Buy;XS2757381749;100;9,347;-934,70;0,00;0,00;EUR
2025-09-23;15:59:06;Executed;"SCALW3LjXWpeCpg";"Leverage Shares 3x Amazon ETP";Security;Buy;IE00BK5BZQ82;100;7,389;-738,90;0,00;0,00;EUR
2025-09-23;15:58:38;Cancelled;"SCALCm6g3F8ZXb1";"Leverage Shares 3x Amazon ETP";Security;Buy;IE00BK5BZQ82;0;0,00;0,00;0,00;0,00;EUR
2025-09-23;14:23:32;Executed;"SCALEEsrRas5fQF";"iShares Physical Silver ETC (Acc)";Security;Sell;IE00B4NCWG09;20;35,80;716,00;0,00;24,20;EUR
2025-09-23;14:23:20;Executed;"SCAL3YdcvvkT3P4";"iShares Physical Gold ETC";Security;Sell;IE00B4ND3602;10;62,295;622,95;0,00;17,40;EUR
2025-09-23;13:57:29;Executed;"SCALKBCh64TCRjk";"Leverage Shares 3x Amazon ETP";Security;Buy;IE00BK5BZQ82;100;8,0715;-807,15;0,00;0,00;EUR
2025-09-23;13:57:22;Cancelled;"SCALBGB4WtZMQhn";"Leverage Shares 3x Amazon ETP";Security;Buy;IE00BK5BZQ82;0;0,00;0,00;0,00;0,00;EUR
2025-09-23;13:57:05;Cancelled;"SCALb2CHgVf8cMV";"Leverage Shares 3x Amazon ETP";Security;Buy;IE00BK5BZQ82;0;0,00;0,00;0,00;0,00;EUR
2025-09-23;13:56:34;Cancelled;"SCALX5nbZLDdxzo";"Leverage Shares 3x Amazon ETP";Security;Buy;IE00BK5BZQ82;0;0,00;0,00;0,00;0,00;EUR
2025-09-23;13:56:27;Cancelled;"SCALVPpMp5tEziG";"Leverage Shares 3x Amazon ETP";Security;Buy;IE00BK5BZQ82;0;0,00;0,00;0,00;0,00;EUR
2025-09-23;13:56:20;Cancelled;"SCALoG9z8NNtYeE";"Leverage Shares 3x Amazon ETP";Security;Buy;IE00BK5BZQ82;0;0,00;0,00;0,00;0,00;EUR
2025-09-23;09:45:17;Executed;"SCALWSMRGuas4rQ";"Leverage Shares 3x NVIDIA";Security;Sell;XS2820604770;5;52,66;263,30;0,00;8,30;EUR
2025-09-22;18:17:12;Executed;"SCAL9dL1vhUbUDG";"Leverage Shares 3x NVIDIA";Security;Sell;XS2820604770;6;49,394;296,364;0,00;40,11;EUR
2025-09-22;16:36:58;Cancelled;"SCALMQgevzT5PRr";"Leverage Shares 3x Baidu ETP Securities";Security;Buy;XS2757381749;0;0,00;0,00;0,00;0,00;EUR
2025-09-22;10:47:53;Executed;"SCALraZ1NFJjeVH";"WisdomTree Uranium and Nuclear Energy (Acc)";Security;Buy;IE0003BJ2JS4;50;44,205;-2.210,25;0,00;0,00;EUR
2025-09-22;09:09:35;Executed;"SCALMjQ4RNivaqr";"Leverage Shares 3x Baidu ETP Securities";Security;Sell;XS2757381749;150;11,211;1.681,65;0,00;40,35;EUR
2025-09-19;15:50:54;Executed;"SCAL9TUZucuXbYY";"Leverage Shares 3x UBER ETP Securities";Security;Sell;XS2337092550;2.000;1,1003;2.200,60;0,00;55,59;EUR
2025-09-18;13:40:04;Executed;"SCAL2JgQJaHoF2K";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;1.000;0,5467;-546,70;0,00;0,00;EUR
2025-09-18;13:14:37;Executed;"SCALihU3vkYSbkU";"Leverage Shares 3x Long Semiconductors ETP Securities";Security;Sell;XS2399367502;100;5,001;500,10;0,00;21,21;EUR
2025-09-18;13:09:43;Executed;"SCAL65VGkx5wXr3";"Advanced Micro Devices";Security;Buy;US0079031078;10;129,58;-1.295,80;0,00;0,00;EUR
2025-09-18;13:06:04;Executed;"SCALCmwyH8BocJT";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;500;0,6098;-304,90;0,00;0,00;EUR
2025-09-18;13:05:21;Executed;"SCALW3JXJ4NGE7P";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;500;0,618;-309,00;0,00;0,00;EUR
2025-09-18;11:12:45;Executed;"SCALz6RhWboBaUv";"Leverage Shares 5x Long Magnificent 7";Security;Sell;XS2779861249;15;31,03;465,45;0,00;64,72;EUR
2025-09-18;10:34:48;Cancelled;"SCALnJtMkoCsZG2";"Leverage Shares 3x Baidu ETP Securities";Security;Sell;XS2757381749;0;0,00;0,00;0,00;0,00;EUR
2025-09-17;22:35:15;Cancelled;"SCALxzK5dR1sDmb";"Leverage Shares 3x Baidu ETP Securities";Security;Buy;XS2757381749;0;0,00;0,00;0,00;0,00;EUR
2025-09-17;21:28:23;Executed;"SCALUrKQtcX5F34";"iShares Blockchain Technology (Acc)";Security;Sell;IE000RDRMSD1;50;16,00;800,00;0,00;23,48;EUR
2025-09-17;18:00:25;Cancelled;"SCALJ5kiCqoxqWg";"Leverage Shares 3x UBER ETP Securities";Security;Buy;XS2337092550;0;0,00;0,00;0,00;0,00;EUR
2025-09-17;17:59:18;Executed;"SCAL4uCp58LAwBp";"Leverage Shares 3x UBER ETP Securities";Security;Buy;XS2337092550;1.000;0,9949;-994,90;0,00;0,00;EUR
2025-09-17;17:58:45;Executed;"SCALqkqPxwu7t6L";"Leverage Shares 3x UBER ETP Securities";Security;Buy;XS2337092550;1.000;0,9949;-994,90;0,00;0,00;EUR
2025-09-17;17:39:03;Executed;"SCALnxukRSd4riV";"Leverage Shares 3x UBER ETP Securities";Security;Sell;XS2337092550;1.000;1,1086;1.108,60;0,00;23,34;EUR
2025-09-17;17:17:24;Executed;"SCALoWNui6UoxCw";"Leverage Shares 3x Amazon ETP";Security;Buy;IE00BK5BZQ82;50;8,298;-414,90;0,00;0,00;EUR
2025-09-17;16:23:32;Executed;"SCALZPHN8xaAgdk";"Leverage Shares 3x UBER ETP Securities";Security;Buy;XS2337092550;1.000;1,0201;-1.020,10;0,00;0,00;EUR
2025-09-17;11:48:41;Executed;"SCALtoQJGVDQN7w";"WisdomTree S&P 500 5x Daily Leveraged";Security;Sell;XS2771643025;5,993;31,412;188,252116;0,99;29,29;EUR
2025-09-17;11:48:00;Executed;"SCALTsFaVJtGRQn";"Leverage Shares 5x Long Magnificent 7";Security;Sell;XS2779861249;10;29,732;297,32;0,00;39,73;EUR
2025-09-17;11:34:45;Executed;"SCALcJPntX5jRc1";"Leverage Shares 3x NVIDIA";Security;Sell;XS2820604770;7;45,342;317,394;0,00;66,38;EUR
2025-09-17;11:32:55;Executed;"SCALiscJ5xCSMGW";"Alibaba Group ADR";Security;Buy;US01609W1027;5;140,40;-702,00;0,00;0,00;EUR
2025-09-17;11:29:34;Executed;"SCALTChFjB87Ppy";"Leverage Shares 3x Baidu ETP Securities";Security;Buy;XS2757381749;150;10,191;-1.528,65;0,00;0,00;EUR
2025-09-16;06:29:01;Expired;"SCALjWRWKeVAxtu";"Taiwan Semiconductor Manufact. ADR";Security;Buy;US8740391003;0;0,00;0,00;0,00;0,00;EUR
2025-09-15;20:33:05;Executed;"SCALMdJycS6tm3o";"Leverage Shares 3x Long Semiconductors ETP Securities";Security;Sell;XS2399367502;100;4,7514;475,14;0,00;7,50;EUR
2025-09-11;18:16:55;Executed;"SCALW75jecGoDoJ";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;500;0,6447;-322,35;0,00;0,00;EUR
2025-09-11;16:33:27;Executed;"SCALNAoqC2CNDo3";"Leverage Shares 3x Amazon ETP";Security;Buy;IE00BK5BZQ82;50;8,3825;-419,125;0,00;0,00;EUR
2025-09-11;16:32:52;Executed;"SCALHJGcaPUfjna";"iShares Blockchain Technology (Acc)";Security;Sell;IE000RDRMSD1;50;15,00;750,00;0,00;14,12;EUR
2025-09-11;10:19:57;Executed;"SCALwKN3zQxYsgt";"Leverage Shares 3x Amazon ETP";Security;Buy;IE00BK5BZQ82;50;8,629;-431,45;0,00;0,00;EUR
2025-09-11;10:19:27;Executed;"SCALxzWAAfB8ZVa";"Leverage Shares 3x Salesforce.com ETP Securities";Security;Buy;IE00BK5BZT14;100;2,9102;-291,02;0,00;0,00;EUR
2025-09-10;20:57:01;Executed;"SCALkEweyF51rE6";"iShares Blockchain Technology (Acc)";Security;Sell;IE000RDRMSD1;80;14,66;1.172,80;0,00;63,57;EUR
2025-09-10;09:04:15;Executed;"SCALhdCYkMRGbMs";"Leverage Shares 3x Amazon ETP";Security;Sell;IE00BK5BZQ82;50;9,287;464,35;0,00;0,00;EUR
2025-09-09;19:55:31;Executed;"SCAL17qwuxQDCfc";"Taiwan Semiconductor Manufact. ADR";Security;Sell;US8740391003;3,194;216,50;691,501;0,00;56,40;EUR
2025-09-09;17:56:05;Executed;"SCALVC13TjoJdRS";"Leverage Shares 3x Long Artificial Intelligence";Security;Sell;XS2779861751;25;35,00;875,00;0,00;33,03;EUR
2025-09-08;13:04:32;Executed;"SCALiJMXfQKD62o";"iShares Physical Gold ETC";Security;Sell;IE00B4ND3602;10;59,86;598,60;0,00;14,01;EUR
2025-09-08;06:29:20;Expired;"SCALc3V4qBEoNdW";"Alphabet A";Security;Buy;US02079K3059;0;0,00;0,00;0,00;0,00;EUR
2025-09-05;18:44:04;Executed;"SCALztmJbYSoGFM";"Advanced Micro Devices";Security;Buy;US0079031078;5;130,24;-651,20;0,00;0,00;EUR
2025-09-05;16:12:31;Cancelled;"SCALfL7b9bjjBLF";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;0;0,00;0,00;0,00;0,00;EUR
2025-09-05;16:11:38;Executed;"SCALH6XvWCv5q5e";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;500;0,5904;-295,20;0,00;0,00;EUR
2025-09-05;16:02:59;Executed;"SCALp8hbNLxhscF";"Leverage Shares 3x NVIDIA";Security;Buy;XS2820604770;7;41,622;-291,354;0,00;0,00;EUR
2025-09-05;15:30:52;Executed;"SCAL7jtS81MZpCY";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;500;0,6381;-319,05;0,00;0,00;EUR
2025-09-05;15:30:16;Executed;"SCALDLzjEP216qk";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;1.000;0,6452;-645,20;0,00;0,00;EUR
2025-09-05;13:27:43;Executed;"SCALYB9PAj9uJKy";"Leverage Shares 3x Amazon ETP";Security;Sell;IE00BK5BZQ82;46;9,0015;414,069;0,00;0,00;EUR
2025-09-05;11:50:50;Executed;"SCAL9reZBr8V8nc";"WisdomTree S&P 500 5x Daily Leveraged";Security;Sell;XS2771643025;10;29,87;298,70;0,00;53,10;EUR
2025-09-05;11:50:18;Executed;"SCALHJt2qg395Y9";"Leverage Shares 5x Long Magnificent 7";Security;Sell;XS2779861249;25;23,842;596,05;0,00;60,48;EUR
2025-09-05;02:00:00;Executed;"AASE 84335334";"";Cash;Taxes;;;;1,22;0,00;;EUR
2025-09-04;08:13:26;Executed;"SCAL7bjXNEcXnUC";"Alphabet A";Security;Sell;US02079K3059;3,161;197,72;624,99292;0,00;34,58;EUR
2025-09-03;15:58:51;Executed;"SCALCWYRQBvVi5U";"Alphabet A";Security;Sell;US02079K3059;3;197,00;591,00;0,00;41,08;EUR
2025-09-03;00:28:00;Rejected;"SCALSSYzPHz4LfF";"Alphabet A";Security;Sell;US02079K3059;0;0,00;0,00;0,00;0,00;EUR
2025-09-02;20:00:03;Executed;"SCALrtecNqkxgBT";"iShares Physical Gold ETC";Security;Sell;IE00B4ND3602;10;58,81;588,10;0,00;11,20;EUR
2025-09-02;16:09:03;Executed;"SCALETe381UPr3K";"Leverage Shares 3x Amazon ETP";Security;Buy;IE00BK5BZQ82;40;8,0135;-320,54;0,00;0,00;EUR
2025-09-01;15:05:16;Executed;"SCALuVQkuuCh8xY";"iShares Physical Gold ETC";Security;Sell;IE00B4ND3602;20;57,60;1.152,00;0,00;15,58;EUR
2025-09-01;12:10:35;Executed;"SCALrtv8Ced8WhU";"iShares Physical Gold ETC";Security;Sell;IE00B4ND3602;20;57,525;1.150,50;0,00;43,14;EUR
2025-09-01;12:09:26;Executed;"SCALY4njiDPaBbi";"iShares Physical Silver ETC (Acc)";Security;Sell;IE00B4NCWG09;40;33,002;1.320,08;0,00;54,18;EUR
2025-09-01;11:59:09;Cancelled;"SCALXrKUkCWSR2z";"NVIDIA";Security;Sell;US67066G1040;0;0,00;0,00;0,00;0,00;EUR
2025-08-29;19:49:19;Executed;"SCALL137fiwJTZo";"Leverage Shares 3x Alibaba ETP";Security;Sell;XS2337090851;200;4,9812;996,24;0,00;64,13;EUR
2025-08-29;19:36:42;Executed;"SCALTgEH4cUEA61";"Leverage Shares 3x Alibaba ETP";Security;Sell;XS2337090851;220;4,9194;1.082,268;0,00;89,08;EUR
2025-08-27;15:07:51;Executed;"SCALhABUPtm7g3x";"Tesla";Security;Sell;US88160R1014;0,989;303,50;300,1615;0,00;21,68;EUR
2025-08-26;02:00:00;Executed;"WWUM 00538932707";"Leverage Shares -3x Short Tesla ETP";Security;Corporate action;XS2706232803;-4.000;0,08;-320,00;;;EUR
2025-08-26;02:00:00;Executed;"WWUM 00538932709";"LEVERAGE SHARES PLC";Security;Corporate action;XS3135031279;6,6;48,484848484;319,9999999944;;;EUR
2025-08-25;18:07:33;Executed;"SCALpGqdxHH7Yyv";"Leverage Shares 3x Alphabet ETP";Security;Sell;IE00BK5BZX59;3;54,065;162,195;0,99;14,31;EUR
2025-08-25;02:00:00;Executed;"B2TIQ4SEW2XROY7M";"PRIME+ subscription";Cash;Fee;;;;-4,99;0,00;;EUR
2025-08-22;19:11:15;Executed;"SCALjzpfDjEXQDG";"Leverage Shares 3x Alphabet ETP Securities";Security;Sell;IE00BK5BZX59;5;51,56;257,80;0,00;20,56;EUR
2025-08-21;16:24:15;Executed;"SCALZTgjqcBtUuz";"Leverage Shares 3x Alibaba ETP";Security;Buy;XS2337090851;70;3,6634;-256,438;0,00;0,00;EUR
2025-08-21;13:50:13;Cancelled;"SCALaqQNAdx4eTx";"Leverage Shares 2x Micron Technology ETP Securities";Security;Buy;IE00BKT66K01;0;0,00;0,00;0,00;0,00;EUR
2025-08-20;16:17:23;Executed;"SCALj2QqoxRQZH8";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;500;0,6985;-349,25;0,00;0,00;EUR
2025-08-20;15:53:45;Executed;"SCALbRSnckZMUuo";"Leverage Shares 3x Long Artificial Intelligence";Security;Buy;XS2779861751;25;29,99;-749,75;0,00;0,00;EUR
2025-08-20;15:37:06;Executed;"SCALx7kw2rQFHFG";"Leverage Shares 3x NVIDIA";Security;Buy;XS2820604770;6;47,996;-287,976;0,00;0,00;EUR
2025-08-20;09:16:43;Executed;"SCALQkoQb7rywUi";"Leverage Shares -1x Microsoft ETP Securities";Security;Sell;IE00BKTW9M13;100;4,4394;443,94;0,00;7,40;EUR
2025-08-20;09:16:23;Cancelled;"SCAL2TMP5rHugrd";"Leverage Shares -1x Microsoft ETP Securities";Security;Sell;IE00BKTW9M13;0;0,00;0,00;0,00;0,00;EUR
2025-08-20;09:15:17;Executed;"SCALMcYtNvUN9sn";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;500;0,7835;-391,75;0,00;0,00;EUR
2025-08-20;06:28:40;Expired;"SCALPENuda7tqvg";"Leverage Shares -3x Short Tesla ETP";Security;Buy;XS2706232803;0;0,00;0,00;0,00;0,00;EUR
2025-08-20;06:28:40;Expired;"SCALHdFT32Cfho9";"Leverage Shares -3x Short Tesla ETP";Security;Buy;XS2706232803;0;0,00;0,00;0,00;0,00;EUR
2025-08-19;18:11:06;Cancelled;"SCALf5pAvnSQeRi";"Leverage Shares 3x NVIDIA";Security;Buy;XS2820604770;0;0,00;0,00;0,00;0,00;EUR
2025-08-19;16:24:49;Cancelled;"SCALfzwUKdpyJCo";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;0;0,00;0,00;0,00;0,00;EUR
2025-08-19;16:24:41;Cancelled;"SCALYAyZ9jrs5ck";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;0;0,00;0,00;0,00;0,00;EUR
2025-08-19;16:23:48;Executed;"SCAL92n2GZ7NiQG";"Leverage Shares 3x AMD ETP Securities";Security;Buy;XS2337090422;500;0,8496;-424,80;0,00;0,00;EUR
